titl;template;parameter;connection;label;l_x;l_y;h_c;h_t;b_t;mat_t;mat_c;n_v_x;t_v;f_v_tens_k;f_v_ax_k;alpha_v;mu_v;con_parameter;min_a_screw;a1_screw;n_fem;g_1;q_1;q_cat;a_s_l;CEM;rh;t0_creep;t_creep;t0_shrink;t_shrink;gamma_t;gamma_c;alpha_cc;gam_g;gam_q;fakt_g_t37;gam_sh;gam_sh_t37;gam_sh_fin;k_mod_t_perm;k_mod_t_medi;k_mod_t_long;k_mod_t_shor;k_mod_t_inst;gam_t;gam_c;gam_s;k_def_t;k_mod_v_perm;k_mod_v_medi;k_mod_v_long;k_mod_v_shor;k_mod_v_inst;gam_v;k_def_v;w_lim_inst;w_lim_fin;beta0;betan;t_fi;d_char_0;d_char_n;d_fi_ef;b_t_fi;h_t_fi;u_t_fi;a_t_fi;k_mod_fi_c;k_mod_fi_m;k_mod_fi_e_t;w_t_y_fi;delta_c_dur_add;delta_c_dur_st;delta_c_dur_gam;c_min_dur;delta_c_dev;d_s_u;c_min;c_nom;d_c;t_class;e_t_p;f_t_m_k;f_t_t0_k;f_t_c0_k;rho_t_k;rho_t_mean;f_t_v_k;k_cr;f_t_t0_d;f_t_c0_d;f_t_v_d;f_t_m_d;c_class;e_c_m;f_c_c_m;f_c_c_k;f_c_t_m;f_c_t_k005;f_c_c_d;f_c_t_d;psi_0;psi_1;psi_2;b_c;a_t;wy_t;iy_t;a_c;wy_c;iy_c;gkla;f_t_t0_k_fi;f_t_c0_k_fi;f_t_v_k_fi;f_t_m_k_fi;h_null;phi;beta_rh;alpha_ds1;alpha_ds2;eps_cd_0;kh;eps_cd_inf;eps_ca_inf;eps_cs_inf;k_s_inst;k_u_inst;a_v;vcrd_k;vcrdmin_vmin;vcrdmin;crdc;rho_c_l;sig_n_c_ed;vcrd;iter_count;h_c_eff_iter;h_c_eff_gzg;h_c_eff_gzt;h_c_eff_inst_gzg;h_c_eff_t37_gzg;h_c_eff_fin_gzg;h_c_eff_inst_gzt;h_c_eff_t37_gzt;h_c_eff_fin_gzt;abbruch;a_c_eff_gzg;a_c_eff_gzt;w_c_y_eff_gzg;w_c_y_eff_gzt;gam_ks;gam_ku;ei_eff_gzg;ei_eff_gzt;e_t_fin_ks;e_c_fin_ks;k_s_fin;e_t_t37_ks;e_c_t37_ks;k_s_t37;e_t_fin_ku;e_c_fin_ku;k_u_fin;e_t_t37_ku;e_c_t37_ku;k_u_t37;e_c_t37;e_c_fin;e_t_t37;e_t_fin;old_index
VA50_1;hbv_bemess_mech;Referenz;notch;GL24h, C30/37, 24x32 Holz, 10 cm Beton;8.1;1.35;0.1;0.32;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;27;40.5;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.25;0.6;0.025;1;1;1;0.00104166666666667;0;0;0;15;10;6;15;25;0.072;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.0768;0.004096;0.00065536;0.0675;0.001125;5.625e-05;24;22.08;27.6;4.025;27.6;0.1;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;26.3517786875953;0.12;0.00261111111111111;0;33.6717172119273;6;0.08;0.085;0.08;0.085;0.085;0.085;0.08;0.08;0.08;FALSE;0.057375;0.054;0.0008128125;0.00072;0.267985608621185;0.267985608621185;24345369.23;24338462.47;7187.5;3317.54;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3678.41;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3317.54;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3678.41;168.5,168.5,168.5,168.5,168.5,168.5;3678.41;3317.54;8846.15;7187.5;1
VA50_2;hbv_bemess_mech;Balkenlänge;notch;6,75m;6.75;1.35;0.1;0.32;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;22.5;33.75;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.25;0.6;0.025;1;1;1;0.00104166666666667;0;0;0;15;10;6;15;25;0.072;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.0768;0.004096;0.00065536;0.0675;0.001125;5.625e-05;24;22.08;27.6;4.025;27.6;0.1;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;26.3517786875953;0.12;0.00261111111111111;0;33.6717172119273;5;0.085;0.09;0.085;0.09;0.09;0.09;0.085;0.085;0.085;FALSE;0.06075;0.057375;0.00091125;0.0008128125;0.286894857372243;0.286894857372243;25189618.54;25247226.27;7187.5;3327.41;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3704.98;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3327.41;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3704.98;168.5,168.5,168.5,168.5,168.5,168.5;3704.98;3327.41;8846.15;7187.5;2
VA50_3;hbv_bemess_mech;Balkenlänge;notch;9,75m;9.75;1.35;0.1;0.32;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;32.5;48.75;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.25;0.6;0.025;1;1;1;0.00104166666666667;0;0;0;15;10;6;15;25;0.072;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.0768;0.004096;0.00065536;0.0675;0.001125;5.625e-05;24;22.08;27.6;4.025;27.6;0.1;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;26.3517786875953;0.12;0.00261111111111111;0;33.6717172119273;7;0.075;0.08;0.075;0.08;0.08;0.08;0.075;0.075;0.075;FALSE;0.054;0.050625;0.00072;0.0006328125;0.249405005420591;0.249405005420591;23405817.41;23353069.34;7187.5;3308.54;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3652.84;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3308.54;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3652.84;168.5,168.5,168.5,168.5,168.5,168.5;3652.84;3308.54;8846.15;7187.5;3
VA50_4;hbv_bemess_mech;Balkenabstand;notch;0,675m;8.1;0.675;0.1;0.32;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;27;40.5;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.25;0.6;0.025;1;1;1;0.00104166666666667;0;0;0;15;10;6;15;25;0.072;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.0768;0.004096;0.00065536;0.0675;0.001125;5.625e-05;24;22.08;27.6;4.025;27.6;0.1;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;26.3517786875953;0.12;0.00261111111111111;0;33.6717172119273;4;0.09;0.095;0.09;0.095;0.095;0.095;0.09;0.09;0.09;FALSE;0.064125;0.06075;0.0010153125;0.00091125;0.255694542342599;0.255694542342599;24295716.22;24331088.96;7187.5;3311.51;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3661.44;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3311.51;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3661.44;168.5,168.5,168.5,168.5,168.5,168.5;3661.44;3311.51;8846.15;7187.5;4
VA50_5;hbv_bemess_mech;Balkenabstand;notch;2,025m;8.1;2.025;0.1;0.32;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;27;40.5;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.25;0.6;0.025;1;1;1;0.00104166666666667;0;0;0;15;10;6;15;25;0.072;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.0768;0.004096;0.00065536;0.0675;0.001125;5.625e-05;24;22.08;27.6;4.025;27.6;0.1;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;26.3517786875953;0.12;0.00261111111111111;0;33.6717172119273;6;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;FALSE;0.054;0.054;0.00072;0.00072;0.26797461291909;0.26797461291909;24338063.73;24338063.73;7187.5;3317.53;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3678.39;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3317.53;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3678.39;168.5,168.5,168.5,168.5,168.5,168.5;3678.39;3317.53;8846.15;7187.5;5
VA50_6;hbv_bemess_mech;Betonhöhe;notch;7cm;8.1;1.35;0.07;0.32;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;27;40.5;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.25;0.6;0.025;1;1;1;0.00104166666666667;0;0;0;15;10;6;15;25;0.042;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.0768;0.004096;0.00065536;0.04725;0.00055125;1.929375e-05;24;22.08;27.6;4.025;27.6;0.07;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;15.3718709010972;0.12;0.00447619047619048;0;33.6717172119273;2;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;FALSE;0.04725;0.04725;0.00055125;0.00055125;0.313158581431614;0.313158581431614;20089707.87;20089707.87;7187.5;3342.35;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3742.84;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3342.35;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3742.84;168.5,168.5,168.5,168.5,168.5,168.5;3742.84;3342.35;8846.15;7187.5;6
VA50_7;hbv_bemess_mech;Betonhöhe;notch;12cm;8.1;1.35;0.12;0.32;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;27;40.5;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.25;0.6;0.025;1;1;1;0.00104166666666667;0;0;0;15;10;6;15;25;0.092;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.0768;0.004096;0.00065536;0.081;0.00162;9.72e-05;24;22.08;27.6;4.025;27.6;0.12;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;33.6717172119273;0.12;0.00204347826086957;0;33.6717172119273;9;0.085;0.085;0.085;0.085;0.085;0.085;0.085;0.085;0.085;FALSE;0.057375;0.057375;0.0008128125;0.0008128125;0.244390807735888;0.244390807735888;27801552.96;27801552.96;7187.5;3306.23;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3646.03;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3306.23;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3646.03;168.5,168.5,168.5,168.5,168.5,168.5;3646.03;3306.23;8846.15;7187.5;7
VA50_8;hbv_bemess_mech;Balkenhöhe;notch;24cm;8.1;1.35;0.1;0.24;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;27;40.5;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.17;0.44;0.017;1;1;1;0.000481666666666667;0;0;0;15;10;6;15;25;0.072;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.0576;0.002304;0.00027648;0.0675;0.001125;5.625e-05;24;22.08;27.6;4.025;27.6;0.1;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;26.3517786875953;0.12;0.00261111111111111;0;33.6717172119273;10;0.06;0.065;0.06;0.065;0.065;0.065;0.06;0.06;0.06;FALSE;0.043875;0.0405;0.0004753125;0.000405;0.249255209444392;0.249255209444392;13070685.39;13002831.58;7187.5;3308.47;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3652.64;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3308.47;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3652.64;168.5,168.5,168.5,168.5,168.5,168.5;3652.64;3308.47;8846.15;7187.5;8
VA50_9;hbv_bemess_mech;Balkenhöhe;notch;40cm;8.1;1.35;0.1;0.4;0.24;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;27;40.5;0.65;0.7;90;0.0585;0.063;0.07;0.1;0.33;0.76;0.033;1;1;1;0.001815;0;0;0;15;10;6;15;25;0.072;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.675;0.096;0.0064;0.00128;0.0675;0.001125;5.625e-05;24;22.08;27.6;4.025;27.6;0.1;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;26.3517786875953;0.12;0.00261111111111111;0;33.6717172119273;2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;FALSE;0.0675;0.0675;0.001125;0.001125;0.271363277621499;0.271363277621499;40903204.97;40903204.97;7187.5;3319.25;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3683.11;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3319.25;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3683.11;168.5,168.5,168.5,168.5,168.5,168.5;3683.11;3319.25;8846.15;7187.5;9
VA50_10;hbv_bemess_mech;Balkenbreite;notch;20cm;8.1;1.35;0.1;0.32;0.2;GL24h;C30/37;3;0.035;NA;NA;NA;0.25;Kerve;NA;NA;0.1;2;3.5;Q_B;1.88;R;65;30;18250;2;18250;1.25;1.5;0.85;1.35;1.5;1;1.35;0.6;0.9;0.6;0.8;0.7;0.9;1.1;1.25;1.5;1.15;0.6;0.71;0.82;0.77;0.87;0.97;1.25;1.2;27;40.5;0.65;0.7;90;0.0585;0.063;0.07;0.06;0.25;0.56;0.015;1;1;1;0.000625;0;0;0;15;10;6;15;25;0.072;GL24h;11500;24;19.2;24;385;420;3.5;0.71;15.36;19.2;2.8;19.2;C30/37;32840;38;30;2.9;2.03;17;1.15033333333333;0.7;0.5;0.3;0.635;0.064;0.00341333333333333;0.000546133333333333;0.0635;0.00105833333333333;5.29166666666667e-05;24;22.08;27.6;4.025;27.6;0.1;3.5;1124.33125;6000;110;0.553682;1000;0.55;0.05;0.6;300,300,300,300,300,300;300,300,300,300,300,300;0.45,1.05,1.65;2;0.542217668469038;24.7901918024044;0.12;0.00261111111111111;0;33.6717172119273;7;0.075;0.08;0.075;0.08;0.08;0.08;0.075;0.075;0.075;FALSE;0.0508;0.047625;0.000677333333333333;0.0005953125;0.266266066889951;0.266266066889951;21213597.1;21185081.06;7187.5;3316.67;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3676.02;168.5,168.5,168.5,168.5,168.5,168.5;7187.5;3316.67;136.4,136.4,136.4,136.4,136.4,136.4;8846.15;3676.02;168.5,168.5,168.5,168.5,168.5,168.5;3676.02;3316.67;8846.15;7187.5;10
